"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Potato, State : Karnataka"
"Commodity : Potato, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Arasikere APMC
02/12/2025,0.4,Local,2500.0,2500.0,2500.0
15/12/2025,3.6,Local,2000.0,3000.0,2000.0
22/12/2025,6.6000000000000005,Local,1500.0,2000.0,1500.0
Market Name : Bangalore APMC
01/12/2025,1314.7,Potato,1600.0,2200.0,1800.0
,328.70000000000005,Local,2400.0,3400.0,2600.0
02/12/2025,297.2,Local,1600.0,2400.0,2000.0
,1188.5,Potato,1600.0,2000.0,1800.0
03/12/2025,1001.0,Potato,1600.0,2000.0,1800.0
,250.20000000000002,Local,1600.0,2400.0,2000.0
04/12/2025,236.20000000000002,Local,1600.0,2400.0,2000.0
,944.8000000000001,Potato,1600.0,2000.0,1800.0
08/12/2025,328.70000000000005,Local,2000.0,2600.0,2100.0
,1315.0,Potato,800.0,2400.0,2000.0
09/12/2025,1175.6000000000001,Potato,800.0,2400.0,2000.0
,293.90000000000003,Local,2000.0,2600.0,2100.0
10/12/2025,234.8,Local,2000.0,2600.0,2100.0
,939.3000000000001,Potato,800.0,2400.0,2000.0
11/12/2025,282.2,Local,2000.0,2600.0,2100.0
,1128.4,Potato,800.0,2400.0,2000.0
12/12/2025,972.4000000000001,Potato,800.0,2400.0,2000.0
,241.3,Local,2000.0,2600.0,2100.0
15/12/2025,203.20000000000002,Local,1600.0,2400.0,2000.0
,812.7,Potato,1000.0,2600.0,2000.0
16/12/2025,183.10000000000002,Local,1600.0,2400.0,2000.0
,732.0,Potato,1000.0,2600.0,2000.0
17/12/2025,204.0,Local,1600.0,2400.0,2000.0
,816.3000000000001,Potato,1000.0,2600.0,2000.0
18/12/2025,217.20000000000002,Local,2000.0,2400.0,2100.0
,868.7,Potato,1000.0,2600.0,2000.0
19/12/2025,249.8,Local,2000.0,2400.0,2100.0
,999.5,Potato,1000.0,2600.0,2000.0
20/12/2025,1151.4,Potato,1000.0,2600.0,2000.0
,287.8,Local,2000.0,2400.0,2100.0
22/12/2025,345.40000000000003,Local,2000.0,2400.0,2100.0
,1381.6000000000001,Potato,1000.0,2600.0,2000.0
23/12/2025,116.2,Local,2000.0,2400.0,2100.0
,464.70000000000005,Potato,1000.0,2600.0,2000.0
24/12/2025,847.6,Potato,1000.0,2600.0,2000.0
,211.9,Local,2000.0,2400.0,2100.0
26/12/2025,1057.6000000000001,Potato,1000.0,2600.0,2000.0
,264.40000000000003,Local,2000.0,2400.0,2100.0
29/12/2025,348.90000000000003,Local,2000.0,2400.0,2100.0
,1395.4,Potato,1000.0,2600.0,2000.0
30/12/2025,613.1,Potato,1000.0,2600.0,2000.0
,153.3,Local,2000.0,2400.0,2100.0
31/12/2025,925.8000000000001,Potato,800.0,2200.0,1800.0
,308.6,Local,1800.0,2800.0,2200.0
Market Name : Bangarpet APMC
01/12/2025,0.9,Local,2000.0,2700.0,2500.0
02/12/2025,0.6000000000000001,Local,2000.0,2700.0,2500.0
03/12/2025,0.4,Local,2200.0,2700.0,2500.0
04/12/2025,0.8,Local,2000.0,2500.0,2300.0
05/12/2025,1.2000000000000002,Local,2000.0,2700.0,2500.0
06/12/2025,0.4,Local,2100.0,2500.0,2300.0
08/12/2025,1.5,Local,2000.0,2500.0,2300.0
09/12/2025,0.4,Local,2000.0,2700.0,2500.0
10/12/2025,0.5,Local,2000.0,3000.0,2500.0
11/12/2025,0.9,Local,1500.0,2300.0,2000.0
12/12/2025,0.5,Local,1000.0,2300.0,2000.0
15/12/2025,1.0,Local,2000.0,2500.0,2300.0
16/12/2025,805.5,Jalander,1500.0,2000.0,1854.0
,0.9,Local,2000.0,2500.0,2300.0
17/12/2025,0.9,Local,2000.0,2700.0,2500.0
18/12/2025,0.6000000000000001,Local,2000.0,2500.0,2300.0
19/12/2025,1.0,Local,2000.0,2500.0,2300.0
20/12/2025,0.9,Local,1500.0,2300.0,2000.0
22/12/2025,1.0,Local,2000.0,2500.0,2300.0
23/12/2025,1.0,Local,1500.0,2500.0,2300.0
24/12/2025,0.8,Local,1000.0,2500.0,2000.0
26/12/2025,0.7000000000000001,Local,2000.0,2500.0,2300.0
29/12/2025,0.9,Local,1000.0,2300.0,2000.0
30/12/2025,0.9,Local,1500.0,2500.0,2000.0
31/12/2025,0.4,Local,1000.0,2000.0,1700.0
Market Name : Belgaum APMC
03/12/2025,393.5,Local,1000.0,1800.0,1500.0
10/12/2025,333.70000000000005,Local,1000.0,1800.0,1500.0
11/12/2025,61.7,Local,1000.0,1800.0,1500.0
13/12/2025,191.8,Local,1000.0,1800.0,1500.0
15/12/2025,170.10000000000002,Local,1000.0,1800.0,1500.0
17/12/2025,293.0,Local,1000.0,1800.0,1500.0
19/12/2025,272.1,Local,1000.0,1800.0,1500.0
20/12/2025,236.20000000000002,Local,1000.0,2000.0,1800.0
24/12/2025,238.10000000000002,Local,500.0,1700.0,1500.0
27/12/2025,302.1,Local,500.0,1700.0,1500.0
31/12/2025,382.5,Local,600.0,1500.0,1150.0
Market Name : Bhagepalli APMC
16/12/2025,0.2,Potato,1200.0,2000.0,1750.0
24/12/2025,0.4,Potato,1500.0,2000.0,1800.0
Market Name : Chikkamagalore APMC
02/12/2025,20.3,Other,1542.0,1742.0,1642.0
03/12/2025,4.2,Other,1884.0,2084.0,1984.0
05/12/2025,7.800000000000001,Other,1823.0,2023.0,1923.0
08/12/2025,3.2,Other,2504.0,2704.0,2604.0
15/12/2025,12.100000000000001,Other,1966.0,2166.0,2066.0
16/12/2025,2.7,Other,1756.0,1956.0,1856.0
17/12/2025,9.0,Other,1845.0,2045.0,1945.0
18/12/2025,1.0,Other,1667.0,1667.0,1667.0
19/12/2025,4.800000000000001,Other,2084.0,2084.0,2084.0
20/12/2025,8.9,Other,1960.0,2160.0,2060.0
22/12/2025,10.3,Other,2004.0,2204.0,2104.0
24/12/2025,5.6000000000000005,Other,1984.0,2184.0,2084.0
29/12/2025,15.0,Other,1900.0,2100.0,2000.0
31/12/2025,4.2,Other,1885.0,2085.0,1985.0
Market Name : Chintamani APMC
18/12/2025,5.0,Local,2000.0,3000.0,2500.0
Market Name : Davangere APMC
03/12/2025,4.0,Potato,2000.0,2300.0,2200.0
04/12/2025,4.5,Potato,1900.0,2200.0,2000.0
09/12/2025,4.5,Potato,1800.0,2100.0,2000.0
10/12/2025,4.0,Potato,1900.0,2200.0,2000.0
11/12/2025,4.5,Potato,2000.0,2300.0,2200.0
12/12/2025,4.0,Potato,1900.0,2100.0,2000.0
16/12/2025,4.5,Potato,2000.0,2300.0,2200.0
17/12/2025,4.0,Potato,1900.0,2100.0,2000.0
18/12/2025,4.5,Potato,2000.0,2200.0,2100.0
19/12/2025,4.0,Potato,1900.0,2200.0,2100.0
20/12/2025,4.0,Potato,2000.0,2300.0,2100.0
23/12/2025,4.0,Potato,2000.0,2200.0,2100.0
24/12/2025,4.0,Potato,1900.0,2100.0,2000.0
26/12/2025,4.5,Potato,1800.0,2000.0,1900.0
30/12/2025,4.5,Potato,1900.0,2200.0,2000.0
31/12/2025,4.0,Potato,1800.0,2100.0,2000.0
Market Name : Doddaballa Pur APMC
01/12/2025,1.8,Local,1800.0,2300.0,2000.0
02/12/2025,2.4000000000000004,Local,2000.0,2500.0,2200.0
03/12/2025,2.4000000000000004,Local,1800.0,2200.0,2000.0
04/12/2025,1.8,Local,2000.0,2500.0,2200.0
06/12/2025,1.8,Local,2000.0,2500.0,2200.0
08/12/2025,1.8,Local,2000.0,2500.0,2200.0
09/12/2025,2.0,Local,2000.0,2400.0,2200.0
10/12/2025,1.8,Local,2000.0,2600.0,2300.0
11/12/2025,1.8,Local,2000.0,2600.0,2300.0
12/12/2025,1.8,Local,2000.0,2600.0,2300.0
15/12/2025,2.1,Local,2000.0,2600.0,2300.0
16/12/2025,1.0,Local,2000.0,2700.0,2400.0
18/12/2025,0.6000000000000001,Local,2000.0,3000.0,2400.0
19/12/2025,2.0,Local,2000.0,3000.0,2500.0
20/12/2025,0.6000000000000001,Local,2000.0,2600.0,2300.0
22/12/2025,2.3000000000000003,Local,2000.0,2600.0,2300.0
23/12/2025,2.0,Local,2000.0,2800.0,2400.0
24/12/2025,2.0,Local,2000.0,2500.0,2300.0
26/12/2025,2.0,Local,2000.0,2600.0,2300.0
29/12/2025,1.8,Local,2000.0,2200.0,2100.0
30/12/2025,2.0,Local,2000.0,2400.0,2200.0
Market Name : Gowribidanoor APMC
03/12/2025,0.30000000000000004,Potato,2000.0,3000.0,2500.0
04/12/2025,0.30000000000000004,Potato,2000.0,3000.0,2500.0
12/12/2025,0.30000000000000004,Potato,2000.0,3000.0,2500.0
17/12/2025,0.4,Potato,2000.0,3000.0,2500.0
18/12/2025,0.30000000000000004,Potato,2000.0,3000.0,2500.0
22/12/2025,0.30000000000000004,Potato,2000.0,3000.0,2500.0
24/12/2025,0.4,Potato,2000.0,3000.0,2500.0
26/12/2025,0.30000000000000004,Potato,2000.0,3000.0,2500.0
29/12/2025,0.4,Potato,2000.0,3000.0,2500.0
31/12/2025,0.4,Potato,2000.0,3000.0,2500.0
Market Name : Hospet APMC
06/12/2025,4.0,Potato,1600.0,1600.0,1600.0
08/12/2025,22.5,Potato,1400.0,2200.0,1900.0
10/12/2025,15.5,Potato,1300.0,2000.0,1600.0
13/12/2025,1.6,Potato,1600.0,1600.0,1600.0
15/12/2025,9.5,Potato,1400.0,2200.0,2000.0
17/12/2025,2.5,Potato,1400.0,1400.0,1400.0
20/12/2025,6.5,Potato,1400.0,1600.0,1600.0
23/12/2025,8.0,Potato,1400.0,1800.0,1800.0
24/12/2025,9.5,Potato,1400.0,1400.0,1400.0
27/12/2025,5.0,Potato,1400.0,1400.0,1400.0
28/12/2025,17.0,Potato,1200.0,2000.0,1300.0
Market Name : Hubli (Amaragol) APMC
01/12/2025,260.5,Local,1000.0,1500.0,1250.0
02/12/2025,217.5,Potato,1200.0,1900.0,1700.0
03/12/2025,60.7,Potato,1200.0,1800.0,1500.0
04/12/2025,124.0,Potato,1000.0,1600.0,1300.0
09/12/2025,115.0,Potato,500.0,1450.0,1100.0
10/12/2025,132.0,Potato,500.0,1700.0,1400.0
11/12/2025,145.0,Potato,500.0,1600.0,1300.0
12/12/2025,251.5,Potato,1000.0,1650.0,1450.0
15/12/2025,205.0,Potato,1000.0,1700.0,1500.0
16/12/2025,245.0,Potato,800.0,1600.0,1300.0
17/12/2025,160.0,Potato,1000.0,1750.0,1400.0
18/12/2025,165.0,Potato,800.0,1250.0,1100.0
19/12/2025,160.0,Potato,1200.0,1400.0,1300.0
20/12/2025,180.0,Potato,1300.0,1500.0,1400.0
22/12/2025,241.10000000000002,Potato,900.0,1300.0,1150.0
24/12/2025,135.0,Potato,700.0,1300.0,1150.0
29/12/2025,262.5,Potato,1000.0,1300.0,1100.0
30/12/2025,155.0,Potato,600.0,1500.0,1300.0
31/12/2025,135.0,Potato,1000.0,1200.0,1100.0
Market Name : Kalburgi APMC
03/12/2025,30.0,Potato,1000.0,1500.0,1250.0
10/12/2025,53.0,Potato,800.0,1600.0,1200.0
17/12/2025,30.0,Potato,800.0,1200.0,1000.0
18/12/2025,20.0,Potato,800.0,1200.0,1000.0
19/12/2025,25.0,Potato,1000.0,1200.0,1100.0
20/12/2025,43.0,Potato,700.0,1200.0,950.0
22/12/2025,20.0,Potato,1000.0,1500.0,1250.0
24/12/2025,45.0,Potato,600.0,1800.0,1200.0
26/12/2025,20.0,Potato,600.0,1800.0,1200.0
29/12/2025,20.0,Potato,1000.0,1500.0,1250.0
30/12/2025,20.0,Potato,1000.0,1500.0,1250.0
31/12/2025,25.0,Potato,1000.0,1400.0,1200.0
Market Name : Kolar APMC
18/12/2025,1.5,Local,1500.0,2500.0,2000.0
Market Name : Malur APMC
24/12/2025,2.5,Potato,1800.0,2200.0,2000.0
Market Name : Nanjangud APMC
12/12/2025,6.1000000000000005,Potato,2380.0,3333.0,2777.0
15/12/2025,6.5,Potato,2380.0,2777.0,2564.0
16/12/2025,4.6000000000000005,Potato,2380.0,3333.0,3030.0
18/12/2025,4.0,Potato,2380.0,4166.0,3333.0
20/12/2025,6.1000000000000005,Potato,2380.0,2777.0,2564.0
22/12/2025,6.1000000000000005,Potato,2380.0,3333.0,2777.0
29/12/2025,6.1000000000000005,Potato,2380.0,3333.0,2777.0
30/12/2025,6.1000000000000005,Potato,2380.0,3333.0,2777.0
Market Name : Shimoga APMC
01/12/2025,6.0,Local,2600.0,3000.0,2800.0
02/12/2025,4.0,Local,2600.0,3000.0,2800.0
03/12/2025,2.0,Local,2600.0,3000.0,2800.0
08/12/2025,2.0,Local,2600.0,3000.0,2800.0
11/12/2025,2.0,Local,2600.0,3000.0,2800.0
12/12/2025,2.0,Local,2600.0,3000.0,2800.0
Market Name : T. Narasipura APMC
04/12/2025,0.8,Other,1500.0,2000.0,2000.0
05/12/2025,0.8,Other,1500.0,2000.0,2000.0
15/12/2025,3.0,Other,1300.0,2000.0,2000.0
Market Name : Udupi APMC
02/12/2025,1.4000000000000001,Potato,2200.0,2400.0,2300.0
15/12/2025,4.5,Potato,1700.0,1800.0,1800.0
17/12/2025,18.0,Potato,1400.0,1500.0,1500.0
20/12/2025,6.6000000000000005,Potato,1400.0,1500.0,1500.0
22/12/2025,9.0,Potato,1400.0,1500.0,1500.0
23/12/2025,2.2,Potato,1400.0,1500.0,1500.0
26/12/2025,11.100000000000001,Potato,1500.0,1600.0,1600.0
30/12/2025,2.1,Potato,1500.0,1600.0,1600.0
