"Date Wise Prices for Specified Commodity on December, 2025 for Commodity : Capsicum, State : Karnataka"
"Commodity : Capsicum, State : Karnataka"

Arrival Date,Arrivals (Metric Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
Market Name : Arasikere APMC
15/12/2025,0.5,Capsicum,5000.0,5000.0,5000.0
22/12/2025,2.0,Capsicum,1500.0,1500.0,1500.0
Market Name : Bangarpet APMC
03/12/2025,0.8,Capsicum,1500.0,2300.0,2000.0
04/12/2025,0.5,Capsicum,1500.0,2300.0,2000.0
05/12/2025,0.7000000000000001,Capsicum,1500.0,2300.0,2000.0
06/12/2025,0.6000000000000001,Capsicum,1500.0,2000.0,1700.0
08/12/2025,1.0,Capsicum,1200.0,2000.0,1700.0
10/12/2025,0.6000000000000001,Capsicum,2000.0,4000.0,3500.0
11/12/2025,0.4,Capsicum,1000.0,1500.0,1300.0
12/12/2025,0.4,Capsicum,2000.0,3500.0,3000.0
15/12/2025,0.9,Capsicum,1200.0,1700.0,1500.0
16/12/2025,0.4,Capsicum,1700.0,2500.0,2200.0
17/12/2025,0.6000000000000001,Capsicum,3500.0,4300.0,4000.0
18/12/2025,0.7000000000000001,Capsicum,2500.0,3300.0,3000.0
19/12/2025,0.6000000000000001,Capsicum,1000.0,2000.0,1500.0
20/12/2025,0.7000000000000001,Capsicum,1500.0,2300.0,2000.0
22/12/2025,1.1,Capsicum,1500.0,2300.0,2000.0
23/12/2025,0.7000000000000001,Capsicum,2000.0,2500.0,2300.0
24/12/2025,0.7000000000000001,Capsicum,2000.0,3500.0,3000.0
29/12/2025,0.8,Capsicum,1000.0,2300.0,2000.0
30/12/2025,0.7000000000000001,Capsicum,1500.0,3500.0,3000.0
31/12/2025,0.8,Capsicum,2000.0,2700.0,2500.0
Market Name : Belgaum APMC
10/12/2025,10.0,Capsicum,3500.0,4000.0,3700.0
31/12/2025,25.0,Capsicum,3000.0,4100.0,3500.0
Market Name : Bhagepalli APMC
20/12/2025,0.2,Capsicum,2000.0,3000.0,2500.0
"Market Name : Binny Mill (F&V), Bangalore APMC"
02/12/2025,14.3,Capsicum,4500.0,5000.0,4700.0
03/12/2025,11.200000000000001,Capsicum,4500.0,5000.0,4700.0
04/12/2025,13.4,Capsicum,3500.0,4000.0,3800.0
05/12/2025,10.8,Capsicum,3500.0,4000.0,3800.0
15/12/2025,26.1,Capsicum,4000.0,4400.0,4300.0
16/12/2025,12.5,Capsicum,4000.0,4400.0,4300.0
17/12/2025,12.0,Capsicum,4000.0,4400.0,4300.0
18/12/2025,13.0,Capsicum,4000.0,4400.0,4300.0
19/12/2025,14.0,Capsicum,4000.0,4400.0,4300.0
20/12/2025,18.8,Capsicum,4000.0,4400.0,4300.0
22/12/2025,11.700000000000001,Capsicum,3000.0,4000.0,3600.0
23/12/2025,12.200000000000001,Capsicum,3000.0,4000.0,3600.0
24/12/2025,15.9,Capsicum,3000.0,4000.0,3600.0
26/12/2025,37.4,Capsicum,3400.0,4000.0,3700.0
29/12/2025,26.3,Capsicum,3400.0,4000.0,3700.0
30/12/2025,14.100000000000001,Capsicum,3500.0,3800.0,3600.0
31/12/2025,11.9,Capsicum,3600.0,4000.0,3800.0
Market Name : Chikkamagalore APMC
15/12/2025,0.5,Capsicum,3334.0,3334.0,3334.0
16/12/2025,0.7000000000000001,Capsicum,4763.0,4763.0,4763.0
Market Name : Chintamani APMC
01/12/2025,0.6000000000000001,Capsicum,2000.0,3500.0,2500.0
05/12/2025,0.7000000000000001,Capsicum,2000.0,4000.0,3000.0
06/12/2025,0.7000000000000001,Capsicum,2000.0,4000.0,2500.0
08/12/2025,0.7000000000000001,Capsicum,1500.0,3000.0,2000.0
09/12/2025,0.7000000000000001,Capsicum,2000.0,4000.0,2500.0
11/12/2025,0.5,Capsicum,2000.0,4000.0,2500.0
12/12/2025,0.4,Capsicum,1500.0,3000.0,2000.0
15/12/2025,0.5,Capsicum,2000.0,4000.0,3000.0
16/12/2025,0.5,Capsicum,2000.0,4000.0,3000.0
18/12/2025,0.6000000000000001,Capsicum,2000.0,4000.0,3000.0
19/12/2025,0.6000000000000001,Capsicum,1500.0,3000.0,2000.0
20/12/2025,0.6000000000000001,Capsicum,2000.0,4000.0,3000.0
22/12/2025,0.5,Capsicum,2000.0,4000.0,3000.0
23/12/2025,0.7000000000000001,Capsicum,2000.0,3000.0,2500.0
26/12/2025,0.6000000000000001,Capsicum,2000.0,3000.0,2500.0
29/12/2025,0.6000000000000001,Capsicum,2000.0,3000.0,2500.0
30/12/2025,0.6000000000000001,Capsicum,2000.0,3500.0,2500.0
Market Name : Davangere APMC
03/12/2025,1.5,Capsicum,3400.0,4300.0,4000.0
04/12/2025,2.0,Capsicum,3500.0,4500.0,4000.0
09/12/2025,2.0,Capsicum,3600.0,4700.0,4200.0
10/12/2025,1.5,Capsicum,3400.0,4500.0,4000.0
11/12/2025,2.0,Capsicum,3500.0,4600.0,4000.0
12/12/2025,1.5,Capsicum,3400.0,4500.0,4000.0
16/12/2025,2.0,Capsicum,3300.0,4500.0,4000.0
17/12/2025,1.5,Capsicum,3400.0,4700.0,4000.0
18/12/2025,2.5,Capsicum,1500.0,2700.0,2100.0
19/12/2025,1.0,Capsicum,3600.0,4900.0,4300.0
20/12/2025,1.0,Capsicum,3400.0,4700.0,4000.0
23/12/2025,1.0,Capsicum,3200.0,4500.0,3800.0
24/12/2025,0.5,Capsicum,3100.0,4300.0,3700.0
26/12/2025,1.0,Capsicum,3000.0,4100.0,3400.0
30/12/2025,1.0,Capsicum,3000.0,4000.0,3500.0
31/12/2025,1.0,Capsicum,3000.0,3900.0,3500.0
Market Name : Doddaballa Pur APMC
01/12/2025,0.5,Capsicum,4000.0,4500.0,4200.0
02/12/2025,0.5,Capsicum,3500.0,4500.0,4000.0
04/12/2025,0.6000000000000001,Capsicum,3000.0,4000.0,3500.0
10/12/2025,0.30000000000000004,Capsicum,3000.0,4000.0,3600.0
11/12/2025,0.5,Capsicum,3000.0,4000.0,3600.0
16/12/2025,0.4,Capsicum,3000.0,4000.0,3500.0
22/12/2025,0.6000000000000001,Capsicum,3000.0,4000.0,3600.0
23/12/2025,0.30000000000000004,Capsicum,3000.0,4000.0,3600.0
29/12/2025,0.5,Capsicum,2500.0,3200.0,2750.0
30/12/2025,0.2,Capsicum,2500.0,3100.0,2800.0
Market Name : Kalburgi APMC
01/12/2025,0.4,Capsicum,1000.0,2000.0,1500.0
02/12/2025,0.30000000000000004,Capsicum,1500.0,2500.0,2000.0
03/12/2025,0.4,Capsicum,1500.0,2500.0,2000.0
04/12/2025,0.30000000000000004,Capsicum,1000.0,2000.0,1500.0
09/12/2025,0.30000000000000004,Capsicum,1000.0,2500.0,1750.0
10/12/2025,0.4,Capsicum,1000.0,2500.0,1750.0
12/12/2025,0.30000000000000004,Capsicum,1500.0,2500.0,2000.0
15/12/2025,0.30000000000000004,Capsicum,1500.0,2500.0,2000.0
16/12/2025,0.30000000000000004,Capsicum,2000.0,2500.0,2250.0
17/12/2025,0.5,Capsicum,2000.0,3000.0,2500.0
18/12/2025,0.30000000000000004,Capsicum,2000.0,3000.0,2500.0
19/12/2025,0.4,Capsicum,2000.0,3000.0,2500.0
20/12/2025,0.4,Capsicum,2000.0,4000.0,3000.0
22/12/2025,0.4,Capsicum,2000.0,4000.0,3000.0
23/12/2025,0.30000000000000004,Capsicum,2500.0,3500.0,3000.0
24/12/2025,0.5,Capsicum,2500.0,3500.0,3000.0
26/12/2025,0.30000000000000004,Capsicum,2000.0,4000.0,3000.0
29/12/2025,0.30000000000000004,Capsicum,2500.0,3500.0,3000.0
30/12/2025,0.2,Capsicum,2600.0,3400.0,3000.0
31/12/2025,0.30000000000000004,Capsicum,2500.0,3500.0,2750.0
Market Name : Kolar APMC
17/12/2025,3.0,Capsicum,2500.0,4500.0,4000.0
22/12/2025,7.5,Capsicum,2000.0,4000.0,3200.0
Market Name : Malur APMC
31/12/2025,53.800000000000004,Capsicum,4000.0,5000.0,4500.0
Market Name : Mysore (Bandipalya) APMC
09/12/2025,3.4000000000000004,Capsicum,3900.0,4100.0,4000.0
11/12/2025,4.800000000000001,Capsicum,3900.0,4100.0,4000.0
15/12/2025,5.800000000000001,Capsicum,4300.0,4500.0,4400.0
16/12/2025,6.5,Capsicum,4300.0,4500.0,4400.0
22/12/2025,5.800000000000001,Capsicum,4300.0,4500.0,4400.0
29/12/2025,5.800000000000001,Capsicum,3800.0,4000.0,3900.0
30/12/2025,6.300000000000001,Capsicum,3800.0,4000.0,3900.0
Market Name : Ramanagara APMC
01/12/2025,0.7000000000000001,Capsicum,4000.0,7000.0,6000.0
02/12/2025,0.8,Capsicum,4000.0,5500.0,5000.0
03/12/2025,0.8,Capsicum,3000.0,5000.0,4400.0
04/12/2025,0.8,Capsicum,3500.0,5000.0,4400.0
05/12/2025,0.8,Capsicum,3000.0,5000.0,4400.0
06/12/2025,0.8,Capsicum,3200.0,5000.0,4400.0
07/12/2025,0.8,Capsicum,4400.0,6000.0,5500.0
08/12/2025,0.8,Capsicum,4000.0,5500.0,5000.0
09/12/2025,0.8,Capsicum,4000.0,6000.0,5000.0
10/12/2025,0.6000000000000001,Capsicum,5000.0,7200.0,6500.0
11/12/2025,0.8,Capsicum,5000.0,7000.0,6000.0
12/12/2025,0.6000000000000001,Capsicum,6000.0,8000.0,7200.0
13/12/2025,0.8,Capsicum,6000.0,8000.0,7200.0
14/12/2025,0.8,Capsicum,4000.0,6000.0,5000.0
15/12/2025,0.8,Capsicum,5000.0,7000.0,6000.0
16/12/2025,0.8,Capsicum,4000.0,6000.0,5500.0
17/12/2025,0.8,Capsicum,4000.0,5500.0,5000.0
18/12/2025,0.6000000000000001,Capsicum,5000.0,6500.0,6000.0
19/12/2025,0.8,Capsicum,4800.0,6000.0,5500.0
20/12/2025,0.8,Capsicum,4000.0,5500.0,5000.0
21/12/2025,0.8,Capsicum,4000.0,6000.0,5500.0
22/12/2025,0.8,Capsicum,5000.0,7000.0,6200.0
23/12/2025,0.7000000000000001,Capsicum,4000.0,6000.0,5500.0
24/12/2025,0.8,Capsicum,4400.0,6000.0,5000.0
26/12/2025,0.8,Capsicum,4400.0,5500.0,5000.0
27/12/2025,0.7000000000000001,Capsicum,3000.0,5000.0,4400.0
29/12/2025,0.8,Capsicum,6000.0,7200.0,6800.0
30/12/2025,0.8,Capsicum,4000.0,6500.0,6000.0
31/12/2025,0.8,Capsicum,4000.0,6000.0,5000.0
Market Name : Ranebennur APMC
10/12/2025,0.5,Capsicum,2000.0,3000.0,2500.0
29/12/2025,0.4,Capsicum,2000.0,3400.0,2600.0
